index_chapter,href,title,time_update,status
1,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-1,Chương 01: Long Cực hào,8 tháng trước,1
2,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-2,Chương 02: Cửu Anh,8 tháng trước,1
3,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-3,Chương 03: Phật Tổ Xá Lợi,8 tháng trước,1
4,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-4,Chương 03:,8 tháng trước,1
5,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-5,Chương 04: Kim Ô cùng Hắc Giao,8 tháng trước,1
6,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-6,Chương 05: Tân nương,8 tháng trước,1
7,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-7,Chương 05:,8 tháng trước,1
8,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-8,Chương 06: Trụy vi,8 tháng trước,1
9,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-9,Chương 07: Ngọc Hư hô hấp pháp,8 tháng trước,1
10,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-10,Chương 08: Siêu phàm thành tựu,8 tháng trước,1
11,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-11,Chương 09: Trên thuyền quỷ nghe,8 tháng trước,1
12,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-12,Chương 10: Chín tầng hạm lâu phía dưới,8 tháng trước,1
13,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-13,"Chương 11: U vân tản ra, Quỷ Hoang thế giới",8 tháng trước,1
14,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-14,Chương 12: Xích Huyện cổ đạo,8 tháng trước,1
15,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-15,Chương 13: Hồng y tiên nga,8 tháng trước,1
16,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-16,Chương 14: Náo động,8 tháng trước,1
17,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-17,Chương 15: Xách s·ú·n·g,8 tháng trước,1
18,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-18,Chương 16: Các ngươi không phải muốn tìm ta sao,8 tháng trước,1
19,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-19,"Chương 17: G·i·ế·t chóc, hay là khống chế g·i·ế·t chóc",8 tháng trước,1
20,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-20,Chương 18: Lôi điện cùng hóa giao,8 tháng trước,1
21,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-21,Chương 19: Kết thúc,8 tháng trước,1
22,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-22,Chương 20: Hận ý khó bình,8 tháng trước,1
23,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-23,Chương 21: Hạm vĩ chi bí,8 tháng trước,1
24,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-24,Chương 21:,8 tháng trước,1
25,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-25,Chương 22: Vũ tiên tử,8 tháng trước,1
26,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-26,Chương 23: Phù Tang Thần Thụ,8 tháng trước,1
27,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-27,Chương 24: Xiển Môn mười hai tán thủ,8 tháng trước,1
28,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-28,Chương 25: Ác Đà Linh cùng hộ đạo thê,8 tháng trước,1
29,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-29,Chương 26: Xuống thuyền,8 tháng trước,1
30,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-30,Chương 27: Lên bờ,8 tháng trước,1
31,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-31,Chương 28: Ánh bình minh vạn dặm,8 tháng trước,1
32,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-32,Chương 29: Táng Tiên trấn,8 tháng trước,1
33,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-33,Chương 30: Nghênh chiến tam tuyền,8 tháng trước,1
34,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-34,Chương 31: Nghỉ đêm Diêu Quan,8 tháng trước,1
35,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-35,Chương 32: Mở đệ tam tuyền,8 tháng trước,1
36,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-36,Chương 33: Như thế nào Thuần Tiên,8 tháng trước,1
37,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-37,Chương 34: Cửu Tuyền Cương Yếu,8 tháng trước,1
38,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-38,Chương 35: Táng Tiên khách ban đêm,8 tháng trước,1
39,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-39,Chương 36: Lê Lăng,8 tháng trước,1
40,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-40,Chương 37: Linh Bảo Kiếp Nã,8 tháng trước,1
41,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-41,Chương 38: Tiên Pháp Tinh Thần,8 tháng trước,1
42,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-42,Chương 39: Thiền Hải Quan Vụ lựa chọn,8 tháng trước,1
43,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-43,Chương 40: Thanh đồng thuyền hạm chủ nhân ý chỉ,8 tháng trước,1
44,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-44,Chương 40:,8 tháng trước,1
45,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-45,Chương 41: Tứ tuyền,8 tháng trước,1
46,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-46,Chương 41:,8 tháng trước,1
47,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-47,Chương 42: Một kiếm mất mạng,8 tháng trước,1
48,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-48,Chương 43: Tàu chở khách lần này đi Cửu Lê thành,8 tháng trước,1
49,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-49,Chương 44: Thiếu tiền,8 tháng trước,1
50,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-50,Chương 45: Dương gia tỷ đệ,8 tháng trước,1
51,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-51,Chương 46: Trường Lâm khách đến thăm,8 tháng trước,1
52,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-52,Chương 47: Người quá giới c·h·ế·t,8 tháng trước,1
53,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-53,Chương 48: Ngự Trùng sĩ,8 tháng trước,1
54,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-54,Chương 49: Ngũ Hải cảnh?,8 tháng trước,1
55,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-55,Chương 50: Đàm phán,8 tháng trước,1
56,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-56,Chương 51: Gặp lại Thái Vũ Đồng cùng Cao Hoan,8 tháng trước,1
57,https://qidian-vp.com/truyen/nguyen-thuy-phap-tac/chuong-57,Chương 52: Thương Lê giáp thủ,8 tháng trước,1
